moa [158,162][302,252] clickable=false
일상을 한곳에 [326,187][489,227] clickable=false
일정 새로고침 [814,178][872,236] clickable=false
일정 검색 [930,178][988,236] clickable=false
일정 [105,325][167,374] clickable=false
할 일 [272,325][342,374] clickable=false
내 할 일 [63,454][327,575] clickable=false
네이버 계정을 연결하면 서버가 제공하는 할 일을 확인할 수 있어요. [63,601][927,646] clickable=false
완료한 할 일도 보기 [63,687][880,732] clickable=false
□ [105,872][162,954] clickable=false
TaskOverdueFixture [194,846][515,889] clickable=false
2026. 9. 8 마감 [194,902][377,942] clickable=false
NAVER · fixture-user [194,950][426,980] clickable=false
□ [105,1122][162,1204] clickable=false
TaskDueFixture [194,1096][445,1139] clickable=false
2026. 9. 9 마감 [194,1152][377,1192] clickable=false
NAVER · fixture-user [194,1200][426,1230] clickable=false
□ [105,1372][162,1454] clickable=false
TaskNoDateFixture [194,1346][502,1389] clickable=false
마감일 없음 [194,1402][331,1442] clickable=false
NAVER · fixture-user [194,1450][426,1480] clickable=false
✓ [105,1622][144,1704] clickable=false
TaskDoneFixture [176,1596][447,1639] clickable=false
2026. 9. 9 마감 [176,1652][359,1692] clickable=false
NAVER · fixture-user [176,1700][408,1730] clickable=false
네이버에서 내 할 일 확인 ↗ [95,1845][456,1890] clickable=false
날짜가 없는 할 일도 이 목록에서 확인할 수 있어요. 마감일이 있는 미완료 항목은 달력과 위젯에 □로 표시합니다. [63,1930][1017,2010] clickable=false
캘린더 [134,2264][206,2301] clickable=false
일정 [392,2264][440,2301] clickable=false
위젯 [639,2264][687,2301] clickable=false
설정 [886,2264][934,2301] clickable=false
